title,name,district,party,phone_num,email,leg_page,last,first,img_link,id
Senator,Irene Aguilar,32,Democrat,303-866-4852,irene.aguilar.senate@state.co.us,/legislators/irene-aguilar,Aguilar,Irene,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-aguilar%2C%20irene.jpg?itok=LPm4bPc7,71senaguilar32
Representative,Jeni James Arndt,53,Democrat,303-866-2917,jeni.arndt.house@state.co.us,/legislators/jeni-james-arndt,Arndt,Jeni James,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_arndt-co-17.jpg?itok=BOPWvPGK,71reparndt53
Senator,Randy Baumgardner,8,Republican,303-866-5292,randy.baumgardner.senate@state.co.us,/legislators/randy-l-baumgardner,Baumgardner,Randy,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-baumgardner%2C%20randy.jpg?itok=Ju2nXDoI,71senbaumgardner8
Representative,KC Becker,13,Democrat,303-866-2578,kcbecker.house@state.co.us,/legislators/kc-becker,Becker,KC,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_beckerkc-co-17.jpg?itok=2NxgoftS,71repbecker13
Representative,Jon Becker,65,Republican,303-866-3706,jon.becker.house@state.co.us,/legislators/jon-becker,Becker,Jon,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_beckerjon-co-17.jpg?itok=uLkf26nZ,71repbecker65
Representative,Susan Beckman,38,Republican,303-866-2953,susan.beckman.house@state.co.us,/legislators/susan-beckman,Beckman,Susan,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_beckman-co-17.jpg?itok=QGxmVSqN,71repbeckman38
Representative,Adrienne Benavidez,32,Democrat,303-866-2964,adrienne.benavidez.house@state.co.us,/legislators/adrienne-benavidez,Benavidez,Adrienne,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_benavidez-co-17.jpg?itok=Gs0Kg2Y-,71repbenavidez32
Representative,Jeff Bridges,3,Democrat,303-866-2921,jeff.bridges.house@state.co.us,/legislators/jeff-bridges,Bridges,Jeff,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_bridges-co-17.jpg?itok=9XryX75E,71repbridges3
Representative,Perry Buck,49,Republican,303-866-2907,perrybuck49@gmail.com,/legislators/perry-buck,Buck,Perry,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_buck-co-17.jpg?itok=qvls0S3G,71repbuck49
Representative,Janet Buckner,40,Democrat,303-866-2944,janet.buckner.house@state.co.us,/legislators/janet-p-buckner,Buckner,Janet,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_buckner-co-17.jpg?itok=f2JoL_G7,71repbuckner40
Representative,Terri Carver,20,Republican,303-866-2191,terri.carver.house@state.co.us,/legislators/terri-carver,Carver,Terri,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_carver-co-17.jpg?itok=tQSb6j62,71repcarver20
Representative,Marc Catlin,58,Republican,303-866-2955,marc.catlin.house@state.co.us,/legislators/marc-catlin,Catlin,Marc,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_catlin-co-17.jpg?itok=E9x8Uyyk,71repcatlin58
